"scharr_date","actdep","latemin","no","station","scharr","has_departed","has_arrived","actarr","actarr_date","schdep","distance","day","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
10,1,TRUE,"18:10","13 Oct 2016",1575,TRUE,"18:18","NB","18:20","13 Oct 2016",78,"18:08",2016-10-13 18:08:00,2016-10-13 18:18:00,2016-10-13 18:10:00,2016-10-13 18:20:00,"11058"
12,1,TRUE,"18:20","13 Oct 2016",1584,TRUE,"18:30","SAV","18:31","13 Oct 2016",79,"18:18",2016-10-13 18:18:00,2016-10-13 18:30:00,2016-10-13 18:20:00,2016-10-13 18:31:00,"11058"
5,1,TRUE,"18:55","13 Oct 2016",1599,TRUE,"18:50","BSL","19:10","13 Oct 2016",80,"18:45",2016-10-13 18:45:00,2016-10-13 18:50:00,2016-10-13 18:55:00,2016-10-13 19:10:00,"11058"
14,1,TRUE,"19:20","13 Oct 2016",1623,TRUE,"19:32","JL","19:34","13 Oct 2016",81,"19:18",2016-10-13 19:18:00,2016-10-13 19:32:00,2016-10-13 19:20:00,2016-10-13 19:34:00,"11058"
18,1,TRUE,"19:55","13 Oct 2016",1671,TRUE,"20:11","PC","20:13","13 Oct 2016",82,"19:53",2016-10-13 19:53:00,2016-10-13 20:11:00,2016-10-13 19:55:00,2016-10-13 20:13:00,"11058"
10,1,TRUE,"21:05","13 Oct 2016",1716,TRUE,"21:10","CSN","21:40","13 Oct 2016",83,"21:00",2016-10-13 21:00:00,2016-10-13 21:10:00,2016-10-13 21:05:00,2016-10-13 21:40:00,"11058"
48,1,TRUE,"21:50","13 Oct 2016",1783,TRUE,"22:33","MMR","22:36","13 Oct 2016",84,"21:45",2016-10-13 21:45:00,2016-10-13 22:33:00,2016-10-13 21:50:00,2016-10-13 22:36:00,"11058"
35,1,TRUE,"23:00","13 Oct 2016",1856,TRUE,"23:30","NK","23:35","13 Oct 2016",85,"22:55",2016-10-13 22:55:00,2016-10-13 23:30:00,2016-10-13 23:00:00,2016-10-13 23:35:00,"11058"
35,1,TRUE,"23:10","13 Oct 2016",1862,TRUE,"23:43","DVL","23:46","13 Oct 2016",86,"23:08",2016-10-13 23:08:00,2016-10-13 23:43:00,2016-10-13 23:10:00,2016-10-13 23:46:00,"11058"
-20,2,TRUE,"00:45","14 Oct 2016",1907,TRUE,"00:20","IGP","00:52","14 Oct 2016",87,"00:40",2016-10-14 00:40:00,2016-10-14 00:20:00,2016-10-14 00:45:00,2016-10-14 00:52:00,"11058"
8,2,TRUE,"02:45","13 Oct 2016",1990,TRUE,"02:50","KYN","02:50","14 Oct 2016",88,"02:42",2016-10-14 02:42:00,2016-10-13 02:50:00,2016-10-14 02:45:00,2016-10-13 02:50:00,"11058"
36,2,FALSE,"03:05","14 Oct 2016",2010,TRUE,"03:38","TNA","03:39","14 Oct 2016",89,"03:02",2016-10-14 03:02:00,2016-10-14 03:38:00,2016-10-14 03:05:00,2016-10-14 03:39:00,"11058"
31,2,FALSE,"03:35","14 Oct 2016",2035,TRUE,"04:03","DR","04:04","14 Oct 2016",90,"03:32",2016-10-14 03:32:00,2016-10-14 04:03:00,2016-10-14 03:35:00,2016-10-14 04:04:00,"11058"
10,2,FALSE,"04:05","14 Oct 2016",2043,TRUE,"04:15","CSTM","04:15","14 Oct 2016",91,"04:05",2016-10-14 04:05:00,2016-10-14 04:15:00,2016-10-14 04:05:00,2016-10-14 04:15:00,"11058"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
0,0,TRUE,"15:50","13 Oct 2016",0,TRUE,"16:15","BSB","16:15","13 Oct 2016",1,"15:50",2016-10-13 15:50:00,2016-10-13 16:15:00,2016-10-13 15:50:00,2016-10-13 16:15:00,"11072"
62,0,TRUE,"16:30","13 Oct 2016",44,TRUE,"17:30","BOY","17:32","13 Oct 2016",2,"16:28",2016-10-13 16:28:00,2016-10-13 17:30:00,2016-10-13 16:30:00,2016-10-13 17:32:00,"11072"
59,0,TRUE,"17:05","13 Oct 2016",75,TRUE,"18:02","JNH","18:04","13 Oct 2016",3,"17:03",2016-10-13 17:03:00,2016-10-13 18:02:00,2016-10-13 17:05:00,2016-10-13 18:04:00,"11072"
52,0,TRUE,"17:38","13 Oct 2016",98,TRUE,"18:28","PLP","18:30","13 Oct 2016",4,"17:36",2016-10-13 17:36:00,2016-10-13 18:28:00,2016-10-13 17:38:00,2016-10-13 18:30:00,"11072"
18,0,TRUE,"19:45","13 Oct 2016",134,TRUE,"19:38","ALD","19:50","13 Oct 2016",5,"19:20",2016-10-13 19:20:00,2016-10-13 19:38:00,2016-10-13 19:45:00,2016-10-13 19:50:00,"11072"
52,0,TRUE,"20:46","13 Oct 2016",217,TRUE,"21:36","DBR","21:38","13 Oct 2016",6,"20:44",2016-10-13 20:44:00,2016-10-13 21:36:00,2016-10-13 20:46:00,2016-10-13 21:38:00,"11072"
27,0,TRUE,"21:35","13 Oct 2016",240,TRUE,"21:57","MKP","22:02","13 Oct 2016",7,"21:30",2016-10-13 21:30:00,2016-10-13 21:57:00,2016-10-13 21:35:00,2016-10-13 22:02:00,"11072"
