"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"AKR",18.9856255,74.669137,"Maharashtra","AKOLNER",414005,6,42.8392857142857,-1.26785714285714
"AKRD",18.6485756,73.7647023,"Maharashtra","AKURDI",411044,5,21.6428571428571,2.78571428571429
"AKS",25.5708594,83.4939051,"Uttar Pradesh","ANKUSPUR",233001,6,72.8421052631579,-2.94736842105263
"AKT",22.02911,82.4222033,"Chhattisgarh","AKALTARA",495552,46,27.5151515151515,2.97245179063361
"AKU",16.2454347,80.6092581,"Andhra Pradesh","ANGALAKUDURU",522211,8,9.57971014492754,2.98550724637681
"AKV",21.6246188,73.0012309,"Gujarat","ANKLESHWAR JN",393001,86,19.5938775510204,7.03877551020408
"AKVD",16.5830163,81.369329,"Andhra Pradesh","AKIVIDU",534235,29,29.9417475728155,2.72815533980583
"AKVU",21.6264236,73.0151984,"Gujarat","ANKLESHWAR UDHYOG NA",NA,2,1.38461538461538,1.38461538461538
"AKW",25.5818869,80.1470608,"Uttar Pradesh","AKORA",210504,4,42.3888888888889,2.5
"AKZ",23.4047502,84.8311459,"Jharkhand","AKASHI",835325,7,3.66153846153846,0.661538461538462
"AL",16.680044,81.6162235,"Andhra Pradesh","ATTILI",534134,15,42.0173913043478,-0.191304347826087
"ALAI",27.3376062,73.5851958,"Rajasthan","ALAI",341001,4,26.525,-1.9
"ALAL",30.377274,75.731933,"Punjab","ALAL",148024,8,23.2933333333333,2.54666666666667
"ALB",22.4469887,70.2105098,"Gujarat","ALIA BADA",361110,10,22.2,3.21111111111111
"ALD",25.4455992,81.8259553,"Uttar Pradesh","ALLAHABAD JN",211001,206,83.7025527192009,23.4350721420644
"ALE",21.8381146,73.4058782,"Gujarat","AMLETHA",393140,2,1.38461538461538,0
"ALER",17.6453639,79.0477324,"Telangana","ALER",508101,21,29.3764705882353,0.488235294117647
"ALJN",27.8973944,78.0880129,"Uttar Pradesh","ALIGARH JN",202001,102,96.8168604651163,26.6293604651163
"ALK",10.7773644,79.0532452,"Tamil Nadu","ALAKKUDI",613601,8,20.625,4.86111111111111
"ALLP",9.4836002,76.3222995,"Kerala","ALAPPUZHA",688012,65,35.1780104712042,-3.51047120418848
"ALM",18.0120969,83.2712557,"Andhra Pradesh","ALAMANDA",535250,16,24.9375,1.64583333333333
"ALMR",21.9598926,71.7111433,"Gujarat","ALAMPUR",364320,14,16.1946902654867,1.02654867256637
"ALMW",25.263959,82.475967,"Uttar Pradesh","ALMAW",221303,6,70.8793103448276,3.53448275862069
"ALN",18.4631166,74.0648027,"Maharashtra","ALANDI",412201,4,26.4722222222222,-3.13888888888889
"ALNI",25.0321835,75.9090793,"Rajasthan","ALNIYA",325003,9,26.0113636363636,1.15909090909091
"ALNP",28.3321486,80.3240007,"Uttar Pradesh","AKELAHANSPUR(HALT)",242123,8,10.2826086956522,7.17391304347826
"ALP",11.6186744,79.7274557,"Tamil Nadu","ALAPAKAM",608801,6,10.5882352941176,1.23529411764706
"ALPR",24.8413145,84.4174069,"Bihar","ALAMPUR ROAD",824121,6,73.4716981132076,1.69811320754717
"ALS",26.291084,84.346434,"Bihar","AMLORI SARSAR",841226,14,26.6176470588235,2.60294117647059
"ALU",11.1503233,79.068566,"Tamil Nadu","ARIYALUR",621713,28,28.4917127071823,6.8121546961326
"ALV",22.3931039,72.9996178,"Gujarat","ANKLAV",388510,4,6.82051282051282,0
"ALW",17.5061924,78.5143478,"Telangana","ALWAL HALT",500010,8,35.5223880597015,0.0149253731343284
"ALY",25.4394262,81.8492023,"Uttar Pradesh","ALLAHABAD CITY",211003,30,42.1392405063291,-8.80379746835443
"AMA",28.5642266,79.4634998,"Uttar Pradesh","ATAMANDA",243203,8,18.5696202531646,1.37974683544304
"AMAN",19.001559,73.282239,"Maharashtra","AMAN LODGE",410102,20,NA,NA
"AMB",19.8363562,83.4561855,"Odisha","AMBODALA",765021,24,46.0764331210191,-1.34394904458599
"AMBG",22.8887187,87.7910346,"West Bengal","ARAMBAG",712601,3,-1.89473684210526,-2.73684210526316
